,S1,S11,S10,S9,S5,S4,S13,S3,S2,S12
93,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263,2169.8975300280263
94,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867,1643.826291825867
95,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087,1011.7410889901087
96,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237,1577.4516530931237
97,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177,1536.9054199245177
98,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975,5532.0710782095975
99,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165,2787.5608031388165
100,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055,2518.512350098055
101,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086,2749.2982111089086
102,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728,4241.627668432728
103,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855,2167.931322472855
104,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147,4134.222301020147
105,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294,2055.7412347499294
106,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476,929.1278758727476
107,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515,2017.3726565341515
108,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573,1831.6930040640573
109,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397,1688.2547551095397
110,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954,2635.3112883655954
111,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459,1887.7604796136459
112,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863,1987.3599164668863
113,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052,771.3332326248052
114,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816,2324.9305519538816
115,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388,2515.536839884388
116,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543,3843.8452790093543
117,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385,1659.831946281385
118,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761,2615.940667771761
119,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484,1954.9285731056484
120,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685,1837.8260657685
121,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684,2857.909446523684
122,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655,1326.3242574019655
123,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586,2525.0713148633586
124,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177,2475.6712233177
